feature,mi_score,rf_importance
URLSimilarityIndex,0.6708364921901855,0.41914321302787966
LetterRatioInURL,0.37122883719539956,0.015845167505589543
raw_path_length,0.2525858729663477,0.09603712976009313
IsHTTPS,0.24310635158403748,0.2031207414404738
NoOfOtherSpecialCharsInURL,0.21480277171654683,0.04952413422636908
raw_entropy_url,0.2000942578420264,0.021378542429761952
SpacialCharRatioInURL,0.18866269650333733,0.015166606004408415
raw_special_count,0.18486719996745782,0.017811465302279207
TLDLegitimateProb,0.1830069710092983,0.0093403660473304
raw_digit_count,0.16006617568791714,0.029394093119887253
NoOfDegitsInURL,0.15636927932082267,0.032359221689378354
DegitRatioInURL,0.1563307526941049,0.025594623219326512
URLLength,0.15205637379407078,0.014779005068571261
CharContinuationRate,0.1412277164408755,0.007798678194612873
NoOfLettersInURL,0.13645487720488014,0.012473551274836151
URLCharProb,0.11935927164321192,0.006715357209499574
raw_subdomain_count,0.09930066025123208,0.008768353428823651
DomainLength,0.0782956416608449,0.003158734469155255
NoOfSubDomain,0.06328168983878002,0.007852073242093765
NoOfQMarkInURL,0.02166629517786567,1.5760602519592787e-05
NoOfEqualsInURL,0.020357287510863964,0.00012393687416943714
raw_suspicious_token_hits,0.02017336245668777,0.0003050042852881363
raw_query_length,0.020023453417601145,5.981340911611461e-06
TLDLength,0.017959991377646256,0.0032872646581644555
raw_has_at_symbol,0.008492204590749619,9.154338047228212e-09
raw_has_ip_host,0.0032463123034045527,3.710191614492954e-09
NoOfAmpersandInURL,0.002994461657151559,2.9822625999795646e-15
IsDomainIP,0.001747129868539199,8.493807068417174e-07
NoOfObfuscatedChar,0.0,1.3333333485242083e-07
ObfuscationRatio,0.0,2.5880477752687416e-15
HasObfuscation,0.0,8.749496583752995e-18
