URLLength,DomainLength,CharContinuationRate,TLDLegitimateProb,URLCharProb,HasObfuscation,ObfuscationRatio,NoOfLettersInURL,NoOfDegitsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,SpacialCharRatioInURL,IsHTTPS,raw_entropy_url,raw_path_length,raw_query_length,raw_subdomain_count,raw_has_at_symbol,raw_has_ip_host,raw_suspicious_token_hits,is_phishing,label_name
31,24.0,1.0,0.5229071,0.061933179,0.0,0.0,18.0,0.0,0.0,0.0,0.032,1.0,3.6572682296173897,0.0,0.0,0.0,0.0,0.0,1.0,0,legitimate
23,16.0,0.666666667,0.0326503,0.050207214,0.0,0.0,9.0,0.0,0.0,0.0,0.087,1.0,3.327819531114783,0.0,0.0,0.0,0.0,0.0,0.0,0,legitimate
29,22.0,0.866666667,0.028555,0.06412872,0.0,0.0,15.0,0.0,0.0,0.0,0.069,1.0,3.6292196865240958,0.0,0.0,1.0,0.0,0.0,0.0,0,legitimate
26,19.0,1.0,0.5229071,0.057605756,0.0,0.0,13.0,0.0,0.0,0.0,0.038,1.0,3.576617644908665,0.0,0.0,0.0,0.0,0.0,0.0,0,legitimate
33,26.0,1.0,0.0799628,0.059441389,0.0,0.0,20.0,0.0,0.0,0.0,0.03,1.0,3.430457025500558,0.0,0.0,0.0,0.0,0.0,0.0,0,legitimate
30,23.0,1.0,0.0799628,0.060614474,0.0,0.0,17.0,0.0,0.0,0.0,0.033,1.0,3.522711955680758,0.0,0.0,0.0,0.0,0.0,0.0,0,legitimate
25,18.0,1.0,0.5229071,0.063549404,0.0,0.0,12.0,0.0,0.0,0.0,0.04,1.0,3.350209029099897,0.0,0.0,0.0,0.0,0.0,0.0,0,legitimate
25,18.0,1.0,0.5229071,0.0604856,0.0,0.0,12.0,0.0,0.0,0.0,0.04,1.0,3.4613201402110083,0.0,0.0,0.0,0.0,0.0,0.0,0,legitimate
29,22.0,1.0,0.0050842,0.056980442,0.0,0.0,16.0,0.0,0.0,0.0,0.034,1.0,3.572623663895163,0.0,0.0,0.0,0.0,0.0,0.0,0,legitimate
18,11.0,1.0,0.0799628,0.070497453,0.0,0.0,5.0,0.0,0.0,0.0,0.056,1.0,2.663532754804255,0.0,0.0,0.0,0.0,0.0,0.0,0,legitimate
33,26.0,1.0,0.5229071,0.063946492,0.0,0.0,20.0,0.0,0.0,0.0,0.03,1.0,3.7671834678914604,0.0,0.0,0.0,0.0,0.0,0.0,0,legitimate
22,16.0,1.0,0.5229071,0.06741797,0.0,0.0,10.0,0.0,0.0,0.0,0.045,0.0,3.327819531114783,0.0,0.0,0.0,0.0,0.0,0.0,1,phishing
